1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2,16,22,31,36,36,38,38,28,16,9,9,9,3,5,3
5,10,30,35,44,30,41,31,21,18,12,12,6,4,1,1
5,12,23,22,44,48,46,28,23,18,13,5,5,6,1,2
2,7,22,46,45,30,40,38,23,16,6,5,8,7,1,5
4,18,24,35,49,34,36,26,19,16,18,5,6,3,5,2
2,16,22,31,36,36,38,38,28,16,9,9,9,3,5,3
5,10,30,35,44,30,41,31,21,18,12,12,6,4,1,1
5,12,23,22,44,48,46,28,23,18,13,5,5,6,1,2
2,7,22,46,45,30,40,38,23,16,6,5,8,7,1,5
4,18,24,35,49,34,36,26,19,16,18,5,6,3,5,
22.0,16.0,22.0,31.0,36.0,36.0,38.0,38.0,28.0,16.0,9.0,9.0,9.0,3.0,5.0,3.0,
1.0,1.0,16.0,22.0,31.0,36.0,36.0,38.0,38.0,28.0,16.0,9.0,9.0,9.0,3.0,5.0,3.0,
5.0,10.0,30.0,35.0,44.0,30.0,41.0,31.0,21.0,18.0,12.0,12.0,6.0,4.0,2.0,
