ganMNIST,
vPython ,
1664288352.24096,
1664288356.79462,4.55366492271423
1664288361.43219,4.63756918907166
1664288366.10219,4.67000198364258
1664288370.94941,4.84721827507019
1664288376.39614,5.44673442840576
1664288381.14932,4.75317478179932
1664288385.70327,4.55395364761353
1664288390.21887,4.51559400558472
1664288395.90306,5.68419337272644
1664288400.79878,4.89571690559387
1664288405.56935,4.7705717086792
1664288410.61399,5.04464173316956
1664288416.87916,6.26516628265381
1664288422.06811,5.18895101547241
1664288427.37434,5.30623579025269
1664288432.85143,5.47708654403687
1664288439.21734,6.36591005325317
1664288444.78874,5.57140374183655
1664288450.71981,5.93106484413147
1664288457.29221,6.57239675521851
1664288465.94224,8.65002965927124
1664288474.0895,8.14726901054382
1664288483.27489,9.18538308143616
1664288493.40839,10.1335005760193
1664288505.77635,12.3679659366608
1664288517.52109,11.7447397708893
1664288530.50881,12.9877178668976
1664288544.13546,13.626651763916
1664288568.91138,24.7759170532227
1664288599.29746,30.3860785961151
1664288637.60319,38.3057334423065
1664288678.70324,41.100044965744
1664288732.79415,54.0909156799316
,
1664288735.16961,
1664288739.35898,4.18936800956726
1664288743.59384,4.23485970497131
1664288747.80781,4.2139744758606
1664288752.17308,4.36526274681091
1664288757.67541,5.50233101844788
1664288762.63704,4.96162867546082
1664288770.16263,7.52558994293213
1664288779.77343,9.61080598831177
1664288791.07195,11.2985184192657
1664288803.99483,12.9228789806366
1664288827.34911,23.3542795181274
1664288855.97813,28.6290247440338
1664288903.53627,47.5581407546997
,
,
python,
1664288905.76707,
1664288906.55031,0.78324556350708
1664288907.34558,0.795270442962647
1664288908.05672,0.711140394210815
1664288908.79591,0.739188671112061
1664288909.50639,0.710476398468018
1664288910.23644,0.730055809020996
1664288910.95086,0.714415073394775
1664288911.6964,0.745545864105225
1664288912.44027,0.74387001991272
1664288913.2126,0.772321701049805
1664288913.99273,0.780132055282593
1664288914.75059,0.757858991622925
1664288915.53561,0.785021543502808
1664288916.32617,0.790560960769653
1664288917.12758,0.801411390304565
1664288917.95691,0.829325199127197
1664288918.82541,0.868506193161011
1664288919.68936,0.863950967788696
1664288920.56217,0.872809171676636
1664288921.58,1.01782917976379
1664288922.70911,1.12911224365234
1664288924.06176,1.35264563560486
1664288925.51992,1.45816326141357
1664288927.16839,1.64846634864807
1664288928.89783,1.72944450378418
1664288930.89121,1.99337530136108
1664288932.90041,2.00920152664185
1664288935.16424,2.2638304233551
1664288938.84466,3.68042230606079
1664288944.16084,5.31617450714111
1664288950.73423,6.57339406013489
1664288958.76889,8.03465676307678
1664288968.17021,9.40131974220276
,
1664288968.19632,
1664288968.93749,0.741168737411499
1664288969.67772,0.740238666534424
1664288970.46201,0.784281492233276
1664288971.24668,0.784679174423218
1664288972.10405,0.857361078262329
1664288972.99082,0.886772632598877
1664288974.47486,1.48403978347778
1664288976.35104,1.87618088722229
1664288978.3437,1.99266052246094
1664288980.96242,2.61872553825378
1664288985.64578,4.68335938453674
1664288991.18165,5.53586912155151
1664288999.46472,8.2830696105957
