filepath, file no., execution time, start time, end time, pop, push, sgrow, sshrink
simple_one/trace_importing1_many/vpython_importing1_many_001.txt,001,6.511189,01:18:17,01:18:23,2240949,4084276,124,153175
simple_one/trace_importing1_many/vpython_importing1_many_002.txt,002,5.797044,01:18:23,01:18:29,2240955,4084286,124,153175
simple_one/trace_importing1_many/vpython_importing1_many_003.txt,003,6.042928,01:18:29,01:18:35,2240946,4084271,124,153175
simple_one/trace_importing1_many/vpython_importing1_many_004.txt,004,6.505226,01:18:35,01:18:42,2240949,4084276,124,153175
simple_one/trace_importing1_many/vpython_importing1_many_005.txt,005,5.927109,01:18:42,01:18:48,2240949,4084276,124,153175
simple_one/trace_importing1_many/vpython_importing1_many_006.txt,006,5.940886,01:18:48,01:18:54,2240943,4084266,124,153175
simple_one/trace_importing1_many/vpython_importing1_many_007.txt,007,5.708486,01:18:54,01:19:00,2240952,4084281,124,153175
simple_one/trace_importing1_many/vpython_importing1_many_008.txt,008,5.616601,01:19:00,01:19:05,2240961,4084296,124,153175
simple_one/trace_importing1_many/vpython_importing1_many_009.txt,009,5.933946,01:19:05,01:19:11,2240952,4084281,124,153175
simple_one/trace_importing1_many/vpython_importing1_many_010.txt,010,5.79164,01:19:11,01:19:17,2240949,4084276,124,153175

simple_one/trace_importing2_pd/vpython_importing2_pd_001.txt,001,3.064613,01:19:17,01:19:20,989180,1715996,54,64646
simple_one/trace_importing2_pd/vpython_importing2_pd_002.txt,002,2.928928,01:19:20,01:19:23,989180,1715996,54,64646
simple_one/trace_importing2_pd/vpython_importing2_pd_003.txt,003,2.990152,01:19:23,01:19:26,989180,1715996,54,64646
simple_one/trace_importing2_pd/vpython_importing2_pd_004.txt,004,3.089343,01:19:26,01:19:29,989180,1715996,54,64646
simple_one/trace_importing2_pd/vpython_importing2_pd_005.txt,005,2.839518,01:19:29,01:19:32,989180,1715996,54,64646
simple_one/trace_importing2_pd/vpython_importing2_pd_006.txt,006,3.099508,01:19:32,01:19:35,989180,1715996,54,64646
simple_one/trace_importing2_pd/vpython_importing2_pd_007.txt,007,2.942404,01:19:36,01:19:38,989180,1715996,54,64646
simple_one/trace_importing2_pd/vpython_importing2_pd_008.txt,008,2.682594,01:19:39,01:19:41,989180,1715996,54,64646
simple_one/trace_importing2_pd/vpython_importing2_pd_009.txt,009,2.802607,01:19:41,01:19:44,989180,1715996,54,64646
simple_one/trace_importing2_pd/vpython_importing2_pd_010.txt,010,2.902171,01:19:44,01:19:47,989180,1715996,54,64646

simple_one/trace_importing3_pd_and_load/vpython_importing3_pd_and_load_001.txt,001,3.037137,01:19:47,01:19:50,1004001,1744984,61,65464
simple_one/trace_importing3_pd_and_load/vpython_importing3_pd_and_load_002.txt,002,2.856296,01:19:50,01:19:53,1004001,1744984,61,65464
simple_one/trace_importing3_pd_and_load/vpython_importing3_pd_and_load_003.txt,003,2.956887,01:19:53,01:19:56,1004001,1744984,61,65464
simple_one/trace_importing3_pd_and_load/vpython_importing3_pd_and_load_004.txt,004,3.137397,01:19:56,01:19:59,1004001,1744984,61,65464
simple_one/trace_importing3_pd_and_load/vpython_importing3_pd_and_load_005.txt,005,3.172216,01:19:59,01:20:02,1004001,1744984,61,65464
simple_one/trace_importing3_pd_and_load/vpython_importing3_pd_and_load_006.txt,006,2.842216,01:20:03,01:20:05,1004001,1744984,61,65464
simple_one/trace_importing3_pd_and_load/vpython_importing3_pd_and_load_007.txt,007,2.844009,01:20:05,01:20:08,1004001,1744984,61,65464
simple_one/trace_importing3_pd_and_load/vpython_importing3_pd_and_load_008.txt,008,2.8105,01:20:08,01:20:11,1004001,1744984,61,65464
simple_one/trace_importing3_pd_and_load/vpython_importing3_pd_and_load_009.txt,009,3.024977,01:20:11,01:20:14,1004001,1744984,61,65464
simple_one/trace_importing3_pd_and_load/vpython_importing3_pd_and_load_010.txt,010,2.889391,01:20:14,01:20:17,1004001,1744984,61,65464

simple_one/trace_importing4_manypd/vpython_importing4_manypd_001.txt,001,2.474171,01:13:40,01:13:42,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_002.txt,002,2.28932,01:13:42,01:13:45,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_003.txt,003,2.221412,01:13:45,01:13:47,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_004.txt,004,2.347765,01:13:47,01:13:49,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_005.txt,005,2.270902,01:13:49,01:13:51,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_006.txt,006,2.300148,01:13:52,01:13:54,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_007.txt,007,2.316163,01:13:54,01:13:56,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_008.txt,008,2.31695,01:13:56,01:13:59,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_009.txt,009,2.16238,01:13:59,01:14:01,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_010.txt,010,2.358452,01:14:01,01:14:03,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_011.txt,011,2.429613,01:14:03,01:14:06,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_012.txt,012,2.299279,01:14:06,01:14:08,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_013.txt,013,2.216652,01:14:08,01:14:10,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_014.txt,014,2.482486,01:14:10,01:14:13,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_015.txt,015,2.184474,01:14:13,01:14:15,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_016.txt,016,2.35775,01:14:15,01:14:17,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_017.txt,017,2.224738,01:14:17,01:14:20,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_018.txt,018,2.329589,01:14:20,01:14:22,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_019.txt,019,2.420288,01:14:22,01:14:25,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_020.txt,020,2.311492,01:14:25,01:14:27,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_021.txt,021,2.274168,01:14:27,01:14:29,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_022.txt,022,2.281431,01:14:29,01:14:32,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_023.txt,023,2.289533,01:14:32,01:14:34,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_024.txt,024,2.695215,01:14:34,01:14:37,1004001,1744984,61,65464
simple_one/trace_importing4_manypd/vpython_importing4_manypd_025.txt,025,3.185961,01:14:37,01:14:40,1004001,1744984,61,65464

simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_001.txt,001,4.708782,01:14:40,01:14:45,1760358,3232275,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_002.txt,002,4.355007,01:14:45,01:14:49,1760370,3232295,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_003.txt,003,4.375217,01:14:49,01:14:53,1760364,3232285,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_004.txt,004,4.247827,01:14:53,01:14:58,1760376,3232305,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_005.txt,005,4.286661,01:14:58,01:15:02,1760352,3232265,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_006.txt,006,4.315776,01:15:02,01:15:06,1760364,3232285,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_007.txt,007,4.449057,01:15:06,01:15:11,1760370,3232295,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_008.txt,008,4.238791,01:15:11,01:15:15,1760364,3232285,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_009.txt,009,4.353013,01:15:15,01:15:20,1760364,3232285,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_010.txt,010,4.312765,01:15:20,01:15:24,1760367,3232290,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_011.txt,011,4.314678,01:15:24,01:15:28,1760364,3232285,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_012.txt,012,4.255935,01:15:28,01:15:33,1760361,3232280,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_013.txt,013,4.382191,01:15:33,01:15:37,1760358,3232275,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_014.txt,014,4.550127,01:15:37,01:15:42,1760367,3232290,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_015.txt,015,4.410989,01:15:42,01:15:46,1760394,3232335,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_016.txt,016,4.294678,01:15:46,01:15:50,1760367,3232290,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_017.txt,017,4.567538,01:15:50,01:15:55,1760367,3232290,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_018.txt,018,4.416303,01:15:55,01:15:59,1760364,3232285,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_019.txt,019,4.323491,01:15:59,01:16:04,1760373,3232300,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_020.txt,020,4.47309,01:16:04,01:16:08,1760364,3232285,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_021.txt,021,4.46249,01:16:08,01:16:13,1760355,3232270,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_022.txt,022,4.499226,01:16:13,01:16:17,1760370,3232295,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_023.txt,023,4.477701,01:16:17,01:16:22,1760364,3232285,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_024.txt,024,4.509817,01:16:22,01:16:26,1760364,3232285,71,123937
simple_one/trace_importing5_manysklearn/vpython_importing5_manysklearn_025.txt,025,4.3361,01:16:26,01:16:31,1760370,3232295,71,123937

simple_one/trace_pandas_play/vpython_pandas_play_001.txt,001,3.851321,01:17:38,01:17:42,1037411,1802320,61,66699
simple_one/trace_pandas_play/vpython_pandas_play_002.txt,002,3.392223,01:17:42,01:17:46,1037411,1802320,61,66699
simple_one/trace_pandas_play/vpython_pandas_play_003.txt,003,3.001193,01:17:46,01:17:49,1037411,1802320,61,66699
simple_one/trace_pandas_play/vpython_pandas_play_004.txt,004,3.719172,01:17:49,01:17:52,1037411,1802320,61,66699
simple_one/trace_pandas_play/vpython_pandas_play_005.txt,005,3.510222,01:17:52,01:17:56,1037411,1802320,61,66699
simple_one/trace_pandas_play/vpython_pandas_play_006.txt,006,3.344877,01:17:56,01:17:59,1037411,1802320,61,66699
simple_one/trace_pandas_play/vpython_pandas_play_007.txt,007,3.567282,01:17:59,01:18:03,1037411,1802320,61,66699
simple_one/trace_pandas_play/vpython_pandas_play_008.txt,008,3.897079,01:18:03,01:18:07,1037411,1802320,61,66699
simple_one/trace_pandas_play/vpython_pandas_play_009.txt,009,4.187056,01:18:07,01:18:11,1037411,1802320,61,66699
simple_one/trace_pandas_play/vpython_pandas_play_010.txt,010,3.461466,01:18:11,01:18:15,1037411,1802320,61,66699

simple_one/trace_print_nothing//vpython_print_nothing_001.txt,001,0.229048,01:18:15,01:18:15,59498,106178,0,4658
simple_one/trace_print_nothing//vpython_print_nothing_002.txt,002,0.176156,01:18:15,01:18:15,59498,106178,0,4658
simple_one/trace_print_nothing//vpython_print_nothing_003.txt,003,0.192722,01:18:15,01:18:16,59498,106178,0,4658
simple_one/trace_print_nothing//vpython_print_nothing_004.txt,004,0.15983,01:18:16,01:18:16,59498,106178,0,4658
simple_one/trace_print_nothing//vpython_print_nothing_005.txt,005,0.173304,01:18:16,01:18:16,59498,106178,0,4658
simple_one/trace_print_nothing//vpython_print_nothing_006.txt,006,0.181909,01:18:16,01:18:16,59498,106178,0,4658
simple_one/trace_print_nothing//vpython_print_nothing_007.txt,007,0.156113,01:18:16,01:18:16,59498,106178,0,4658
simple_one/trace_print_nothing//vpython_print_nothing_008.txt,008,0.165723,01:18:16,01:18:16,59498,106178,0,4658
simple_one/trace_print_nothing//vpython_print_nothing_009.txt,009,0.208765,01:18:16,01:18:17,59498,106178,0,4658
simple_one/trace_print_nothing//vpython_print_nothing_010.txt,010,0.182272,01:18:17,01:18:17,59498,106178,0,4658




