filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_A,pop_total, push_total, sgrow_total, sshrink_total
programs/activity/v2_nb/trace_pg/vpython_006.txt,6,2332696,4265951,124,159735,39120,76008,16,1775,186,336,0,17,2372002,4342295,140,161527
programs/activity/v2_nb/trace_pg/vpython_016.txt,16,2332717,4265986,124,159735,40291,77677,18,1794,186,336,0,17,2373194,4343999,142,161546
programs/activity/v2_nb/trace_pg/vpython_005.txt,5,2332705,4265966,124,159735,40891,78277,18,1794,186,336,0,17,2373782,4344579,142,161546
programs/activity/v2_nb/trace_pg/vpython_015.txt,15,2332711,4265976,124,159735,45691,83077,18,1794,186,336,0,17,2378588,4349389,142,161546
programs/activity/v2_nb/trace_pg/vpython_004.txt,4,2332708,4265971,124,159735,51691,89077,18,1794,186,336,0,17,2384585,4355384,142,161546
programs/activity/v2_nb/trace_pg/vpython_014.txt,14,2332708,4265971,124,159735,99703,137095,18,1795,186,336,0,17,2432597,4403402,142,161547
programs/activity/v2_nb/trace_pg/vpython_003.txt,3,2332699,4265956,124,159735,159727,197131,18,1797,186,336,0,17,2492612,4463423,142,161549
programs/activity/v2_nb/trace_pg/vpython_013.txt,13,2332717,4265986,124,159735,639907,677401,18,1812,186,336,0,17,2972810,4943723,142,161564
programs/activity/v2_nb/trace_pg/vpython_002.txt,2,2332693,4265946,124,159735,1240889,1279575,18,1840,186,336,0,17,3573768,5545857,142,161592
programs/activity/v2_nb/trace_pg/vpython_011.txt,11,2332705,4265966,124,159735,3043081,3084265,18,1915,186,336,0,17,5375972,7350567,142,161667
programs/activity/v2_nb/trace_pg/vpython_012.txt,12,2332735,4266016,124,159735,6047237,6093303,18,2046,186,336,0,17,8380158,10359655,142,161798
programs/activity/v2_nb/trace_pg/vpython_017.txt,17,2332699,4265956,124,159735,9051405,9102359,18,2178,186,336,0,17,11384290,13368651,142,161930
programs/activity/v2_nb/trace_pg/vpython_001.txt,1,2332714,4265981,124,159735,12055561,12111397,18,2309,186,336,0,17,14388461,16377714,142,162061
programs/activity/v2_nb/trace_pg/vpython_007.txt,7,2332699,4265956,124,159735,15059729,15120453,18,2441,186,336,0,17,17392614,19386745,142,162193
programs/activity/v2_nb/trace_pg/vpython_008.txt,8,2332720,4265991,124,159735,18063119,18127641,18,2562,186,336,0,17,20396025,22393968,142,162314
programs/activity/v2_nb/trace_pg/vpython_009.txt,9,2332738,4266021,124,159735,21067287,21136697,18,2694,186,336,0,17,23400211,25403054,142,162446
programs/activity/v2_nb/trace_pg/vpython_010.txt,10,2332708,4265971,124,159735,24071443,24145735,18,2825,186,336,0,17,26404337,28412042,142,162577
